name,typeOfService,phone,phoneExt,email,contactName,contactPhone,contactEmail,secondContactName,secondContactPhone,secondContactPhoneExt,secondContactEmail,address1,city,state,zip,notes
BUSINESS OFFICE COMPUTERS,OFFICE SYSTEMS COMPUTERS,,,rob@208protech.com,Rob,,,,,,,,,,,
Payette / Emmitt Family Services,Family Services,(208) 504-8168,,jsaylor@efspfs.com,Jo Saylor,(208) 504-8168,,,,,,,,,,
Freedom Treatment Facility-Pocatello,Treament Services ,(208) 213-8803,,,Eric,(208) 241-9790,,,,,,,,,,
Sober Gangster ,SG Sober Housing Solutions,(208) 810-8646,,,Jason Williams,(208) 810-8646,,,,,,,,,,
Divine Fortress,Safe Houses,(208) 881-0511,,,Jack Taylor,(208) 810-5111,,,,,,,,,,
Clarvida,Trauma Based IOP,(208) 608-2434,,,Kara Hudson,(208) 608-2434,,,,,,,,,,
DANCERS (Hispanic Dancers) Registered for Rally,Community Dancers,(818) 582-1133,,xicana1977@gmail.com,Belinda ,(818) 582-1133,,,,,,,,,,
Guardian Pharmacy,Mobile Pharmacy Driver,(818) 582-1133,,xicana1977@gmail.com,Belinda ,(818) 582-1133,,,,,,,,,,
BIKES FREE-NAMPA BIKE PROJECT,Free Bike Service,(208) 412-6660,,lovecaldwellidaho@gmail.com,Jim Porter,(208) 412-6660,,,,,,,,,,
Easterseals GOODWILL ,Senior Services Community Employment Program,(208) 608-8269,,sharonk@esgw.org,Sharon Kierulf,(208) 608-8269,,,,,,,,,,
Magellan,Magellan Healthcare,(208) 559-6519,,serraanob@magellanhealth.com,Brennan Serrano,(208) 559-6519,,,,,,,,,,
Port Of Hope ,Detox / Treatment,(208) 463-0118,,michele.h@portofhopecenters.org,Amber Peterson,(208) 463-0118,,,,,,,,,,
Cottonwood Creek,Behaioral Hospital and Wellness Center,(208) 202-4474,,morgan.vanry@havenllc.com,Morgan Van Ry,(208) 202-4474,,,,,,,,,,
Belle's Blings,Personalized Merchandise,(208) 477-7337,,belleblings@gmail.com,Alicia Duran,(208) 477-7337,,,,,,,,,,
West Valley Medical ,Behaviorial Health Center ,(801) 548-2231,,jenlayne77@gmail.com,Jen Gorder,(801) 548-2231,,,,,,,,,,
Terry Reilly Health Services,Terry Reilly Health Services,(208) 721-5146,,cortiz@trhs.org,Krystal Ortiz,(208) 721-5146,cortiz@trhs.org,,,,,,,,,
Serenity Seekers Middleton Alanon,Middleton Alan-non,(208) 650-6903,,waltman_teresa@yahoo.com,Teresa Waltman,(208) 650-6903,,,,,,,,,,
Human Supports of Idaho,Human Supports ,(208) 264-7749,,aacree@humansupports.com,Amber Acree,(208) 284-7749,aacree@humansupports.com,,,,,,,,,
Geo Rentry Services,Reentry Services,(208) 821-5582,,sowhite@geogroup.com,Socorro White,(208) 821-5582,sowhite@geogroup.com,,,,,,,,,
SMOKED TURKEY LEGS,Food Truck,(208) 859-9655,,smokedtrukeylegs@gmail.com,Kyndal Fondren,(208) 859-9655,smokedturkeylegs@gmail.com,,,,,,,,,
Recovery Ways of Idaho,Treatment ,(208) 571-8498,,trobie@recveryways.com,Tomi Robie,(208) 571-8498,trobie@recoveryways.com,,,,,,,,,
Recovery Yoga,Yoga,(208) 992-0695,,,Marisa,(208) 992-0695,,,,,,,,,,
Ace Sober Living LLC,Sober Living Services,(208) 880-0863,,,,,,,,,,,,,,
MH CONSTRUCTION,Employment : Construction,(208) 941-7950,,,Mark Hagerty,(208) 941-7950,,,,,,,,,,
CLOWNING CAR SHOW,CAR SHOW PARTIICIPANTS,(208) 941-0415,,,SUNNY,(208) 941-0415,,,,,,,,,,
UNITED RENTALS,GOLF CART DONATYIONS,,,,,,,,,,,,,,,
ACUTE EMT PARAMEDIC SERVICES,INFO TENT,,,,LINDSEY BEACHAM,,,,,,,,,,,
208 PAVEMENT PRINSESSES,CAR SHOW PARTIICIPANTS,(208) 761-5327,,evanskristy546@gmail.com,Kristy Evans,(208) 761-5327,,,,,,,,,,
Jevenile Probation,Juvenile Probation Dept.,(208) 989-2153,,,Mikayala,(208) 989-2153,,,,,,,,,,
New Hope Program,New Subdivision for Housing,,,,,,,,,,,,,,,
Woody's Outdoor Power,Woody's Outdoor Power,(208) 459-0662,,david@woodysoutdoorpower.com,David Wood,(208) 459-0662,,,,,,,,,,woodysoutdoorpower.com
Hays House-Adolescent Shelter,Homeless Shelter -Adolescents,,,,,,,,,,,,,,,
Soldiers For The Cross -Ramon ,Motorcycle Bike Show-Classic Ink -Mens Clothing ,,,,Ramon,,,,,,,,,,,
ALBERTSONS-Corporate Sponsor ,Media District -Kim G,(208) 395-4848,,,,,,,,,,,,,,
RIDLEYS,Josh Allen,(208) 324-4633,,josh.allen@shopridley.com,,,,,,,,,,,,
BRIGGS AND BAUSCHER LAW FIRM,Lawyer-Alex ,(208) 459-4446,,"alex@briggsbauscher,com",,,,,,,,,,,,
ADVOCATES ,Attorneys,(208) 421-9462,,,,,,,,,,,,,,
ROGER DREYER LAW FIRM,Attorneys,(916) 999-9132,,rdreyer@dbbwc.com,,,,,,,,,,,,
MORGAN LAW,Attorneys,,,dmorgan@morganinjurylawfirm.com,,(208) 789-2098,,,,,,,,,,
Learning How To Live -MARIO Hernandez,SICI-VIDEO TRAINING-ISCC-Audio-Visual (Adult-Juv) Reentry,(208) 986-8866,,infor@learninghot2live.org,Mario Hernandez,(208) 291-9189,,,,,,,,,,Mario is a text only phone
Recovery ways Of Idaho ,Treatment ,(208) 571-8498,,trobie@recoveryways.com,Tomi Robie,(208) 571-8498,trobie@recoveryways.com,,,,,,,,,
Alanon ,Alanon,(208) 330-9074,,princdrake62@gmail.com,Janet Drake,(208) 330-9074,,,,,,,,,,
CATCH-Access Point,Housing,(208) 515-6415,,amandan@catchprogram.org,Amanda Nelson,(208) 515-6415,amandan@catchprogram.org,,,,,,,,,
New Hope Counseling,Counseling,(208) 695-5456,,erica.newhope@gmail.com,Erica Clemens,(208) 695-5456,erica.newhope@gmmail.com,,,,,,,,,
Tlecoatl Danza Azteca,Dancers,(818) 582-1133,,xican1977@gmail.com,Belinda Alvarez,(818) 582-1133,,,,,,,,,,
Molina Healthcare of Idaho,Healthcare Services,(208) 724-1469,,Yvetter.Primero@MolinaHealthcare.com,Yvette  Primero,(208) 724-1469,,,,,,,,,,
Hokey Pokey LLC,"Ice Cream, Drinks, Food Truck",(208) 559-6775,,hokeypokeymeridian@gmail.com,Praeploy Panseethong,(208) 559-6775,hokeypokeymeridian@gmail.com,,,,,,,,,
Family Services Treatment ,Family Services,(208) 504-8168,,jsaylor@efspfs.com,Jo Saylor,(208) 504-8168,jsaylor@efspfs.com,,,,,,,,,
FLUFF AND STUFF ,COTTON CANDY TRAILER,,,,Danielle Star,(208) 350-1206,fluffandstuffboise@gmail.com,,,,,,,,,
Intermountain Hospital ,treatment services,(208) 871-1741,,joy.husman@uhsinc.com,Joy Husman,(208) 871-1741,,,,,,,,,,
COOKIE NOOK,HOME BAKERY,(208) 258-0844,,cookienookboise@gmail.com,Brittany Celusta,(208) 258-0844,cookienookboise@gmail.com,,,,,,,,,
Hippie Chic Holistic Healing,Holistic Healing,(541) 216-3178,,piagarbarini@gmail.com,Pia Garbarini,(541) 216-3178,,,,,,,,,,
Good Day Balloon,Balloon Animals- ,(208) 949-0366,,gooddayballooons@gmail.com,Jesse Snow,(208) 949-0366,,,,,,,,,,
TEENIE ROSE Creations,Crachet -,(208) 608-0321,,Rosa.chvez.208@gmail.com,Roseanne Sanchez,(208) 608-0321,Rosa.chavev.208@gmail.com,,,,,,,,,
Oyamel Folkloric Dancers,Dancers,(208) 250-5347,,oyamel.idaho@gmail.com,Brad Ebert,(208) 250-5347,oyamel.idaho@gmail.com,,,,,,,,,
Divine Fortress,BOOK SALES,(208) 810-5111,,divinefortressministries@gmail.com,Jack Taylor,(208) 810-5111,,,,,,,,,,
Healing and Wholeness-Signed Sealed Delivered,Health and Wellness,(208) 809-7992,,Trishamcduffey@gmail.com,Trisha McDuffey,(208) 809-7992,Trishamcduffey@gmail.com,,,,,,,,,
Kitchen Collectives,Soup Kitchen,(208) 970-3174,,kitchencollective2c@gmail.com,Havilah Collins,(208) 970-3174,kitchencollective2c@gmail.com,,,,,,,,,
Video productions,VIDEOS,(814) 323-8901,,VIDEO@BOWERMASTERPRODUCTIONS.COM,Bryan Bowermaster ,(814) 323-8901,,,,,,,,,,
CLARVIDA--Samantha Downing,Peer Support Specialist-Clarvida,(208) 740-0067,,diamondz.2022@yahoo.com,Samantha,(208) 740-0067,,,,,,,,,,
Rusty Halo Band Member- Robert Arehart,Band -Rusty Halo (Bobby Arehart -Trivium),(208) 801-1817,,,Alfred Naverro,(208) 250-7472,,,,,,,,,,
Miss Idaho,Sonia Ibarra,(208) 912-9391,,,,,,,,,,,,,,
Kids Back Pack Event-Caldwell-Folkloric Dancers?,Ebert,(208) 250-5347,,,,,,,,,,,,,,
Kids Back Pack Event-Caldwell-Folkoric Dancers?,Peppita,(208) 249-7375,,,,,,,,,,,,,,
Kids Back Pack Event-Caldwell-Folkloric Dancers?,Jennifer Oritz,(208) 614-8686,,,,,,,,,,,,,,
Back to School Event Caldwell Memorial Park Aug.9th- Sister Grace,Sister Grace,(208) 559-6602,,,,,,,,,,,,,,
Straight Clownin Car Club-  Trevor Lorentz,Trevor Lorentz,,,,,,,,,,,,,,,
Straight Clownin Car Club-Ismael Huerta / Lil Cris,Ismael Huerta / Lil Cris,,,,,,,,,,,,,,,
